admin2,province_state,country_region,fips,latitude,longitude,date,cases,death,source,update_date
,,US,,37.0902,-95.7129,1/21/2020,1,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/22/2020,1,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/23/2020,1,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/24/2020,2,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/25/2020,3,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/26/2020,5,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/27/2020,5,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/28/2020,5,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/29/2020,5,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/30/2020,6,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,1/31/2020,7,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/1/2020,8,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/2/2020,11,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/3/2020,11,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/4/2020,11,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/5/2020,12,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/6/2020,12,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/7/2020,12,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/8/2020,12,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/9/2020,12,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/10/2020,13,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/11/2020,13,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/12/2020,14,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/13/2020,15,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/14/2020,15,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/15/2020,15,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/16/2020,15,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/17/2020,25,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/18/2020,25,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/19/2020,25,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/20/2020,27,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/21/2020,30,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/22/2020,30,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/23/2020,30,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/24/2020,43,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/25/2020,45,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/26/2020,60,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/27/2020,60,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/28/2020,65,0,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,2/29/2020,70,1,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/1/2020,88,3,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/2/2020,104,6,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/3/2020,125,10,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/4/2020,161,12,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/5/2020,228,12,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/6/2020,311,15,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/7/2020,428,19,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/8/2020,547,22,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/9/2020,748,26,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/10/2020,1018,31,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/11/2020,1263,37,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/12/2020,1668,43,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/13/2020,2224,50,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/14/2020,2898,60,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/15/2020,3600,68,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/16/2020,4507,91,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/17/2020,5905,116,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/18/2020,8345,157,https://github.com/nytimes/covid-19-data,3/28/2020
,,US,,37.0902,-95.7129,3/19/2020,12413,203,https://github.com/nytimes/covid-19-data,3/28/2020
